source_id,source_label,target_id,target_label,relation,support,weight
3123cbf9-460d-467a-9306-b4fb316daddd,Light-matter interaction,a24536c5-e01e-429d-a29a-f43fa8bbf23f,Trapped ions,STUDIES,29,0.645
453f63ad-c881-451c-b024-5d2b5aab7199,Gravitational waves,27862afe-0467-49b2-a792-5b376b520666,Astronomical black holes,STUDIES,424,1.0
b35238d0-83c7-4412-b293-c7d42fa92c62,Magnetism,08087671-73b2-4a66-a8ae-079c75cb9b33,Thin films,STUDIES,165,1.0
b35238d0-83c7-4412-b293-c7d42fa92c62,Magnetism,da6707f1-6146-40bb-948f-38cd8ae1e3eb,Transition metals,STUDIES,39,0.6950000000000001
1c6daf36-c0ff-464f-963b-ac9673015bfc,Magneto-optical Kerr effect,08087671-73b2-4a66-a8ae-079c75cb9b33,Thin films,STUDIES,60,0.8
1c6daf36-c0ff-464f-963b-ac9673015bfc,Magneto-optical Kerr effect,da6707f1-6146-40bb-948f-38cd8ae1e3eb,Transition metals,STUDIES,6,0.53
1c6daf36-c0ff-464f-963b-ac9673015bfc,Magneto-optical Kerr effect,08087671-73b2-4a66-a8ae-079c75cb9b33,Thin films,PROBES,60,0.8
1c6daf36-c0ff-464f-963b-ac9673015bfc,Magneto-optical Kerr effect,da6707f1-6146-40bb-948f-38cd8ae1e3eb,Transition metals,PROBES,6,0.53
6445f83e-f405-4a82-a600-98f06865c0fa,Magnetization measurements,08087671-73b2-4a66-a8ae-079c75cb9b33,Thin films,PROBES,112,1.0
6445f83e-f405-4a82-a600-98f06865c0fa,Magnetization measurements,da6707f1-6146-40bb-948f-38cd8ae1e3eb,Transition metals,PROBES,15,0.575
9e019803-f9d8-4802-b1ac-d2c035d9508f,Electronic structure,2dbc1b50-90ad-46a1-827a-18bb66c9f1c2,1-dimensional spin chains,STUDIES,13,0.565
f708cc58-38ab-4944-8e59-aba8cebdece7,Peierls transition,2dbc1b50-90ad-46a1-827a-18bb66c9f1c2,1-dimensional spin chains,STUDIES,10,0.55
609a2adc-099f-463f-9e2a-dd85c0101044,Thermodynamics,2dbc1b50-90ad-46a1-827a-18bb66c9f1c2,1-dimensional spin chains,STUDIES,11,0.555
243ebf5e-d251-49c3-b8b6-fc6a3d29442e,Heisenberg model,2dbc1b50-90ad-46a1-827a-18bb66c9f1c2,1-dimensional spin chains,PROBES,81,0.905
595b37ed-b7d8-457e-be59-5224c6dead59,Spin chains,2dbc1b50-90ad-46a1-827a-18bb66c9f1c2,1-dimensional spin chains,PROBES,63,0.815
9dc2ee1a-ff51-438a-b7c7-1045cd385cfc,Quantum Monte Carlo,2dbc1b50-90ad-46a1-827a-18bb66c9f1c2,1-dimensional spin chains,PROBES,23,0.615
