entityLabel	propLabel	valueLabel	entity	prop	value
muon	discoverer or inventor	Carl David Anderson	Q3151	P61	http://www.wikidata.org/entity/Q169366
positron	discoverer or inventor	Carl David Anderson	Q3229	P61	http://www.wikidata.org/entity/Q169366
photon	part of	Photinus-luciferin 4-monooxygenase (ATP-hydrolyzing) activity	Q3198	P361	http://www.wikidata.org/entity/Q3901694
photon	part of	response to light stimulus	Q3198	P361	http://www.wikidata.org/entity/Q14859558
photon	part of	oxygen evolving activity	Q3198	P361	http://www.wikidata.org/entity/Q22316027
photon	part of	Renilla-luciferin 2-monooxygenase activity	Q3198	P361	http://www.wikidata.org/entity/Q22316927
photon	part of	Watasenia-luciferin 2-monooxygenase activity	Q3198	P361	http://www.wikidata.org/entity/Q22316934
photon	part of	Cypridina-luciferin 2-monooxygenase activity	Q3198	P361	http://www.wikidata.org/entity/Q22316949
photon	part of	Oplophorus-luciferin 2-monooxygenase activity	Q3198	P361	http://www.wikidata.org/entity/Q22316953
photon	part of	Latia-luciferin monooxygenase (demethylating) activity	Q3198	P361	http://www.wikidata.org/entity/Q22317043
photon	part of	alkanal monooxygenase (FMN-linked) activity	Q3198	P361	http://www.wikidata.org/entity/Q22317834
positron	part of	particle physics	Q3229	P361	http://www.wikidata.org/entity/Q18334
quark	part of	hadron	Q6718	P361	http://www.wikidata.org/entity/Q101667
electromagnetism	part of	physics	Q11406	P361	http://www.wikidata.org/entity/Q413
neutron	has part(s)	down quark	Q2348	P527	http://www.wikidata.org/entity/Q6745
photon	has effect	Compton effect	Q3198	P1542	http://www.wikidata.org/entity/Q171516
photon	has effect	Q56312436	Q3198	P1542	http://www.wikidata.org/entity/Q56312436
photon	has characteristic	wave–particle duality	Q3198	P1552	http://www.wikidata.org/entity/Q193068
gluon	has characteristic	color charge	Q3299	P1552	http://www.wikidata.org/entity/Q380528
quark	has characteristic	electric charge	Q6718	P1552	http://www.wikidata.org/entity/Q1111
quark	has characteristic	lepton number	Q6718	P1552	http://www.wikidata.org/entity/Q174012
quark	has characteristic	color charge	Q6718	P1552	http://www.wikidata.org/entity/Q380528
neutron	studied by	neutron transport	Q2348	P2579	http://www.wikidata.org/entity/Q3338735
Higgs boson	discoverer or inventor	CERN	Q402	P61	http://www.wikidata.org/entity/Q42944
Higgs boson	discoverer or inventor	ATLAS experiment	Q402	P61	http://www.wikidata.org/entity/Q299002
Higgs boson	discoverer or inventor	CMS experiment	Q402	P61	http://www.wikidata.org/entity/Q659478
electron	discoverer or inventor	J. J. Thomson	Q2225	P61	http://www.wikidata.org/entity/Q47285
