entityLabel	propLabel	valueLabel	entity	prop	value
Higgs boson	Bibliothèque nationale de France ID	123974191	Q402	P268	123974191
Higgs boson	subclass of	scalar boson	Q402	P279	http://www.wikidata.org/entity/Q2750336
Higgs boson	Commons category	Higgs boson	Q402	P373	Higgs boson
Higgs boson	pronunciation audio	http://commons.wikimedia.org/wiki/Special:FilePath/LL-Q188%20%28deu%29-Michael%20Schoenitzer%20%28MichaelSchoenitzer%29-Higgs-Boson.wav	Q402	P443	http://commons.wikimedia.org/wiki/Special:FilePath/LL-Q188%20%28deu%29-Michael%20Schoenitzer%20%28MichaelSchoenitzer%29-Higgs-Boson.wav
Higgs boson	BNCF Thesaurus ID	55655	Q402	P508	55655
Higgs boson	interaction	gravity	Q402	P517	http://www.wikidata.org/entity/Q11412
Higgs boson	interaction	weak interaction	Q402	P517	http://www.wikidata.org/entity/Q11418
Higgs boson	interaction	electromagnetic interaction	Q402	P517	http://www.wikidata.org/entity/Q849919
Higgs boson	interaction	Higgs field	Q402	P517	http://www.wikidata.org/entity/Q2094142
Higgs boson	time of discovery or invention	2012-01-01T00:00:00Z	Q402	P575	2012-01-01T00:00:00Z
Higgs boson	Freebase ID	/m/01jtzt	Q402	P646	/m/01jtzt
Higgs boson	NL CR AUT ID	ph705689	Q402	P691	ph705689
Higgs boson	significant event	Discovery of the Higgs Boson	Q402	P793	http://www.wikidata.org/entity/Q54004690
Higgs boson	decays to	electron	Q402	P816	http://www.wikidata.org/entity/Q2225
Higgs boson	decays to	photon	Q402	P816	http://www.wikidata.org/entity/Q3198
Higgs boson	decays to	W or Z boson	Q402	P816	http://www.wikidata.org/entity/Q211922
Higgs boson	Dewey Decimal Classification	539.721	Q402	P1036	539.721
Higgs boson	spin quantum number	0	Q402	P1122	0
Higgs boson	parity quantum number	1	Q402	P1123	1
Higgs boson	OmegaWiki Defined Meaning	1395736	Q402	P1245	1395736
Higgs boson	Gran Enciclopèdia Catalana ID (former scheme)	0262636	Q402	P1296	0262636
Higgs boson	described by source	Great Russian Encyclopedia	Q402	P1343	http://www.wikidata.org/entity/Q1768199
Higgs boson	Monte Carlo Particle Number	35	Q402	P1360	35
Higgs boson	Encyclopædia Britannica Online ID	science/Higgs-boson	Q402	P1417	science/Higgs-boson
Higgs boson	BBC Things ID	5a62ee3b-ccad-46f8-9d63-69266290407c	Q402	P1617	5a62ee3b-ccad-46f8-9d63-69266290407c
Higgs boson	mass	124.97	Q402	P2067	124.97
Higgs boson	mass	125.11	Q402	P2067	125.11
Higgs boson	mass	125.26	Q402	P2067	125.26
Higgs boson	antiparticle	Higgs boson	Q402	P2152	http://www.wikidata.org/entity/Q402
Higgs boson	electric charge	0	Q402	P2200	0
Higgs boson	decay width	13000000	Q402	P2223	13000000
Higgs boson	YSO ID	27401	Q402	P2347	27401
Higgs boson	has superpartner	higgsino	Q402	P2375	http://www.wikidata.org/entity/Q1617700
Higgs boson	mean lifetime	0.00001	Q402	P2645	0.00001
Higgs boson	mean lifetime	0.000156	Q402	P2645	0.000156
Higgs boson	Great Russian Encyclopedia Online ID (2017)	4664997	Q402	P2924	4664997
Higgs boson	The Guardian topic ID	science/higgs-boson	Q402	P3106	science/higgs-boson
