object,count
algorithm,19
spacetime,9
machine learning,8
graph,8
galaxies,7
networks,7
neurotransmitter,6
quark,5
manifold,5
string theory,5
quantum mechanics,5
dark matter,4
sensing,4
black hole,4
topology,4
deep learning,4
reinforcement learning,3
supersymmetric,3
cu,3
general relativity,3
quantum computing,3
nucleus,3
black holes,3
thermodynamic,3
datasets,3
large language model,3
supersymmetry,3
qubit,3
curvature,3
relativistic,3
cosmological,3
dark energy,3
statistics,3
horizon,3
logic of nonmonotonic reasoning,3
lorentz group,2
collider,2
quantum information,2
communication,2
internet service provider,2
tree,2
quantum information theory,2
deep neural network,2
interactions,2
hamiltonian system,2
neural network,2
privacy,2
atlas,2
three-dimensional,2
3d,2
white dwarf,2
oxygen,2
nonlinear,2
meson,2
heterostructures,2
decoder,2
entanglement,2
nucleon,2
cern,2
quantum electrodynamics,2
universe,2
growth,2
spectrum,2
phase space,2
electron,2
quantum computer,2
combinatorial,2
robot,2
mimo,2
cosmologies,2
sensor,2
dynamical system,2
thermodynamics,2
numerical analysis,2
artificial neural networks,2
stochastic,2
large hadron collider,2
quantum,2
pierre auger observatory,2
differential equation,2
dataset,2
qcd,2
field theories,2
cosmology,2
knowledge graph,2
simulations,2
robustness,2
decay,2
finite group,2
speech recognition,2
banach space,2
receiver,2
learning,2
finite graph,2
approximation,2
superconductors,2
gpus,2
solar cycle 24,2
astrophysics,2
neutron star,2
hamiltonian,2
software developer,2
graph neural networks,2
nuclei,2
hubble space telescope,2
wind turbine,2
potential index,1
online training services,1
amplitudes,1
linux,1
bug,1
reciprocal processes,1
video-language model,1
pulsar,1
two-dimensional,1
faulty successive cancellation decoding,1
exoplanet,1
anthropomorphic,1
mathematical physics,1
cosmological model,1
nasa,1
polynomial,1
temperature,1
phase diagram,1
planetary system,1
distributed machine learning,1
cohomology theory,1
numerical,1
deep-learning,1
laser,1
user authentication,1
mass-critical exponent,1
epidemics,1
atomic beam clocks,1
glass transition,1
impedance tuners,1
horava-lifshitz,1
polymer,1
hurricanes,1
homological product code,1
sources of risk,1
monadicity,1
nondegeneracy,1
spin,1
solar-type,1
gamma radiation,1
solar flows,1
very large telescope,1
sinfoni,1
regression,1
elliptic equation,1
backdoor attack,1
autoregressive,1
earth observation,1
histopathology,1
projective,1
earth's atmosphere,1
convolutional layers,1
spiral,1
homoclinic class,1
semantic representation,1
integer,1
np-hard,1
nova,1
three-body correlation,1
13co,1
gamma-ray,1
generalized gradientapproximation,1
sensors,1
card game,1
generators,1
matroid,1
main-sequence star,1
elliptic function,1
integral program,1
randomized controlled trials,1
shock wave,1
proton,1
video-to-audio,1
riemannian manifold,1
formalism,1
bes-ii,1
rhic,1
galaxy,1
vertices,1
tensor decomposition,1
5g,1
anonymous communication system,1
optimization,1
stochasticoptimization,1
metric measure space,1
outflow,1
2019,1
mars exploration,1
gamma-ray bursts,1
95,1
prospect theory,1
carriers,1
inspiral,1
boron,1
graphene,1
affine variety,1
cathode material,1
massive particle,1
planck,1
continuous control,1
srtio3,1
galaxy momentum field,1
high energy physics,1
gravitational background,1
norm inequalities,1
fixed point,1
non-parametric,1
control theoretical,1
valid inequalities,1
generative adversarial network,1
quantum-mechanical,1
data science,1
abelian higgs model,1
dirac material,1
nuclear emission,1
muon,1
lattice,1
einstein,1
solar interior,1
dielectrics,1
android,1
robust control,1
induced fission,1
o,1
gaussian process,1
website,1
