predicate,count,pct
subclass of,428,41.23
instance of,140,13.49
part of,97,9.34
use,68,6.55
facet of,65,6.26
has part,47,4.53
studied by,46,4.43
uses,16,1.54
followed by,12,1.16
opposite of,12,1.16
different from,11,1.06
has effect,10,0.96
studies,9,0.87
has parts of the class,6,0.58
named after,6,0.58
point in time,5,0.48
operator,4,0.39
product or material produced,4,0.39
location,4,0.39
based on,4,0.39
operating system,3,0.29
field of work,3,0.29
has cause,3,0.29
developer,3,0.29
practiced by,3,0.29
discoverer or inventor,3,0.29
located in the administrative territorial entity,3,0.29
notable work,2,0.19
author,2,0.19
country,2,0.19
field of this occupation,2,0.19
programming language,2,0.19
student,2,0.19
contains administrative territorial entity,2,0.19
connects with,2,0.19
is a list of,1,0.1
used by,1,0.1
number of episodes,1,0.1
publisher,1,0.1
manufacturer,1,0.1
follows,1,0.1
influenced by,1,0.1
