subject,count
qubit,7
parametric,7
neurotransmitter,6
horizon,6
two-dimensional,4
convolutional neural network,3
black hole,3
quark,3
vertices,3
hadron,3
gravity,3
holomorphic,3
rhic,2
recurrent neural network,2
2d,2
quantum dot,2
p,2
topology,2
bert,2
neurons,2
seminal article,2
supersymmetry,2
minimax,2
symmetric,2
entangled,2
quantum gravity,2
cold dark matter,2
5g,2
spacetime,2
permutation,2
schwarzschild black hole,2
robustness,2
exponential,2
spanning,2
atlas,2
hamiltonian,2
magnetic field,2
sensor,2
cosmological,2
automorphism group,2
nuclei,2
networks,2
coulomb plus power potential,1
replicate,1
wigner's little groups,1
bhabha scattering amplitude,1
fermilab accelerator division,1
cheeger inequality tamadraand algorithm,1
non regression testing,1
langevin dynamics,1
d\'ej\`a vu,1
ar sco,1
galactic population,1
monolayer,1
lhc,1
erasure-based fault fixmemodel,1
habitable-zone,1
anthropomorphic,1
eulerian,1
temperature-redshift relation,1
lisa,1
monic,1
critical temperature,1
temperatures,1
free-floating planet,1
federated learning,1
grigorchuk group,1
quasi-monte carlo,1
multicasting,1
tw,1
password,1
mico,1
level-3,1
verizon,1
critical nonlinearity,1
nodes,1
susceptible-infectious,1
rubidium tamadrafountains,1
breakdown of stokes-einstein relation,1
implemented,1
perturbation theory,1
d7-branes,1
horava-lifshitz scale,1
lsco,1
semiflexible,1
facebook,1
hurricane impacts on us employment,1
hypergraph product,1
edges 21 cm absorption anomaly,1
heritable risk,1
nondegeneracy,1
monadicity,1
artificial neural network,1
nucleon,1
eclipsing binary,1
x-ray,1
inflows,1
convlstm,1
curvature of space,1
hydrodynamic,1
sinfoni,1
very large telescope,1
robust linear regression,1
quasilinear,1
subgraph backdoor attack,1
shannon entropy,1
autoregressive with psynetexogenous input,1
ssl4eo-s12,1
histopathology image,1
2-design,1
sky camera,1
quaternion,1
early-type galaxies,1
classifier,1
structurally stable homoclinic classes,1
non-semantic features,1
odd prime,1
steiner tree problem,1
radar,1
t pyx,1
two-body correlation,1
12co,1
hess j1745-290,1
exx+rpa oep potential,1
milky way,1
event camera,1
fairtoo,1
massive black hole,1
two-point correlation,1
rank-$r$,1
2mass j12184187-0609123,1
$\vartheta$,1
multilinear,1
historical trial data,1
multifaced interpretation,1
secondary shock wave,1
photoproduction,1
tri-ergon,1
far-from-cmc,1
non-commuting,1
bes-ii,1
artificial radio galaxies,1
bipartite,1
privacy,1
tensorf,1
minimally supersymmetric standard model,1
lte,1
tor,1
genetic algorithm,1
stochastic gradient descent,1
supermassive black hole,1
upper doubling,1
neutrino,1
nucleus,1
galactic outflow,1
cocyclical polygon,1
2017,1
rover,1
soft gamma repeaters,1
phys. rev. lett.,1
kahneman,1
valence,1
gravitational waves,1
hexagonal boron nitride,1
grafold,1
magnetic black hole,1
shi variety,1
polyanionic,1
muon,1
bicep2,1
dmcontrol,1
srtio3/ktao3,1
interacting,1
sunyaev-zel'dovich effect,1
relativistic invariance,1
gravitational radiation,1
consensus optimisation,1
$c=1$,1
lipschitz truncation,1
classical fixed point index theory,1
passing-bablok,1
robust control problem,1
sirius a/b,1
facets,1
t2i,1
quantum bus,1
autoencoders,1
higgs field,1
[oiii,1
bnl,1
star lattice,1
born-infeld type,1
solar cycle,1
anisotropy,1
play store,1
statistical linearization,1
symmetric fission,1
oh,1
intrinsic kriging,1
stackoverflow,1
noncollinear,1
electron-ion,1
$kk$,1
epiq,1
alas,1
gaas,1
topological complexity,1
recurrent video denoising transformer,1
diminutive,1
hi parkes all-sky psynetsurvey,1
carbon monoxide,1
hubbard band,1
llama2,1
heisenberg chain,1
simplex algorithm,1
orthorhombic,1
2004 ims medallion lecture,1
noncommutative d-brane,1
riemannian manifold,1
mcfm,1
metals,1
turbulent,1
wiretap,1
essential spectrum,1
plutonium,1
training-free,1
phillips curve,1
aluminum,1
drying,1
test-field limit,1
closed topological manifold,1
dirac hamiltonian,1
ch ind,1
sensing,1
uv,1
mos$_2$,1
rips fragment separator,1
sr,1
tunnel,1
stirling sequence,1
gaussianity,1
route choice problem,1
topological argument,1
topological number,1
holomorphic solution,1
noetherian,1
metaverse,1
ob-future,1
minimizes,1
discord,1
integrated sensing and communication,1
waymo,1
classical circuit,1
simple lie algebra,1
2bga,1
cohomology,1
efficientnet-b6,1
quotient category,1
graph neural networks,1
linear combination,1
universal algebra,1
8-bit integer,1
3d gaussian splatting,1
deep neural network,1
machine-learning,1
initial neutron,1
horizon radius,1
pulsar wind,1
gibbs point process,1
minimal stationary process,1
spark,1
agn,1
wisdom,1
k-modes,1
rabinowitz-floer homology,1
inconceivable,1
synchrotron,1
lorentz coordinate transformations,1
pp-wave gravitational background,1
hamiltonians,1
supersedes,1
cu-o,1
strongly almost sure convergence,1
spherical mirror,1
quantum-spin-hall,1
standoff distance,1
contractible,1
de haas-van alphen,1
physics-informed graph neural networks,1
widest-angle-tail,1
closed 3-manifold,1
scalar curvature,1
three-point function,1
two-state-two-mode,1
communities,1
xor gate,1
k-clique,1
goldman-rota recurrence,1
bayesian,1
autoencoder,1
resonance linewidth,1
symmetric tensors,1
explicit continued fraction expansion,1
orbifold,1
sqrt-ista,1
fairen-velarde coupled,1
interstellar medium,1
bk-algorithm,1
smd,1
resource allocation,1
dissipative hydrodynamics,1
waveguide,1
dislocations,1
theia,1
quantum experiment,1
maximally entangled state,1
minimally-distributed,1
source location privacy,1
progressive clothing warping,1
supervised-learning,1
exponential growth,1
hindi,1
ir pump,1
toffoli gate,1
shhg,1
honeycomb,1
gat,1
knowledge,1
ising model,1
two-loop,1
congruent tori,1
h_2,1
symplectic,1
garbling order,1
laalo3/srtio3,1
knot group,1
iv rencontres de blois,1
cough,1
aval,1
robotic arm,1
multinomial log-likelihood,1
lawyers,1
legal domain,1
hot tamadrajupiters,1
pusey's noncontextuality inequality,1
central station,1
correlated environment,1
abelian coverings,1
greenbergian word order,1
phylogenetic tree,1
wse2,1
3d,1
communication-constrained bayesian active knowledge distillation,1
warm dark matter,1
event horizon,1
quantum hamiltonian reduction,1
photons,1
sensor fusion,1
dissipaton,1
quintuple,1
intrinsic capacitance,1
hardy,1
source code documentation,1
self-organized critical system,1
monocular depth estimation,1
electroweak,1
llama,1
dagger module,1
freezing transition,1
scintillator,1
curvature measure,1
rigging,1
interfaces,1
quantum-paraelectric,1
conformal loop ensemble,1
50 years of quantum chromdynamics,1
papas,1
novatron,1
paramagnetic,1
speech-to-speech,1
streaming instability,1
wearable,1
multiple scattering,1
sn 2004gq,1
medcco,1
hyperrectangular lattice,1
feedback-guided dynamic interactive planning,1
mean,1
singular symplectic space,1
exponential order,1
second,1
advanced ligo,1
hexagonal lattice,1
numerical error,1
ellsberg paradoxes,1
simulation,1
two-nucleon knockout,1
terrell effect,1
vertex,1
training,1
ultradiscrete,1
adversarial examples,1
expectation maximization,1
1029 nm,1
abelian variety,1
evolving dark energy,1
momentum transfer squared,1
umbilic,1
brownian motion,1
chaotic scattering,1
glue,1
bicyclic semigroup,1
lorentz transmission electron microscopy,1
omega cen,1
lanconelli,1
salm,1
perovskite thickness modification,1
mesoscopic entanglement,1
dynalang,1
integral,1
neuroimaging,1
yakutia,1
russian republic,1
cobe,1
unit root issues,1
synthia,1
jacobian torsor obstruction,1
core-collapse,1
multiple vector space modeling,1
piecewise-planar,1
mobile phone,1
solar activity cycle,1
deep psynetneural network,1
rossi x-ray timing explorer,1
gallows,1
nanoplasmas,1
neural diving,1
nonlinear,1
maximum entropy,1
immersion,1
slavnov-taylor identities,1
run 3,1
clas,1
heat equation,1
mox,1
ute$_2$,1
yukawa texture,1
gaia,1
gluon jet,1
aprhl,1
tree,1
many-body physics,1
monotone,1
surface detector,1
fluorescence detector,1
computational time,1
computational costs,1
single-photon camera,1
flow-guided efficient diffusion,1
simplicial arrangement,1
manganite,1
evomem,1
nitrogen-vacancy,1
word embedding,1
janh-teller,1
hartree energy,1
polydisk,1
quantum correlations,1
ensembles,1
followers,1
goursat problem,1
hi parkes all-sky survey,1
nearest-neighbor graph,1
spinal-ai2024,1
satisficing,1
indus 2,1
minimally marginal relevance,1
data science,1
gw170817,1
hpsoc,1
ai4food-nutritiondb,1
rejuvenation phase,1
threshold voltage,1
ecology,1
ngc 4065,1
isotropic,1
heavy quark limit,1
dark-matter power spectrum,1
fso-bs,1
homotopy,1
scanning,1
withdrawn,1
finite fields,1
capacitors,1
two-loop topologies,1
trust,1
superintuitionistic,1
wasp-19b,1
recurrent neural networks,1
illustristng,1
commutative field theory,1
exponential convergence,1
lhc 2003 symposium,1
supersymmetric,1
gravitational wave,1
yangbajing cosmic ray observatory,1
compair,1
slow feature analysis,1
grand unification,1
high-bandwidth memory,1
minimum-weight perfect matching,1
variational inference,1
nucleotide,1
knowledge graph question answering,1
exceptional curve,1
federated generative adversarial learning,1
bart,1
hydrodynamics,1
pioneer,1
quantized,1
expectation-maximization algorithm,1
population iii,1
neutrinoless,1
tng50,1
normal subgroup,1
new electronic assistant,1
datasets,1
spire,1
inertia-constrained pixel-by-pixel nmf,1
ifs,1
elliptic type,1
string theory,1
tensionless superstring,1
two-party system,1
microscopic,1
underwater crawling,1
unipotent radical,1
kashiwazaki-kariwa nuclear power station,1
perfect square,1
disengagement,1
φ,1
rank-1-pca,1
domain adaptation,1
moth-eye,1
actor-critic,1
