object,count
algorithm,26
property,16
model,14
method,13
dataset,13
graph,11
tool,9
solution,9
theory,8
physical phenomenon,7
mathematical concept,6
optimization,5
galaxies,5
analytic expressions,5
networks,5
llm,5
framework,5
missions,5
nascar,4
logical operations,4
particles,4
phenomenon,4
coupled cluster methods,4
better results,4
protocol,4
correlations,4
chaotic behavior,4
summarization,4
algebra,4
quantum mechanics,4
thermodynamic quantities,4
opto-electro-mechanical system,4
klm logic,4
two-dimensional material,3
conjecture,3
moment,3
pre-trained image classifier architecture,3
quantum correlations,3
quantum system,3
spacetime,3
milky way,3
measurements,3
state-of-the-art results,3
problem,3
protection mechanism,3
study,3
black holes,3
type of particle,3
structure,3
physics,3
system,3
schracha,3
nascarcollinear laser spectroscopy,3
rate-independent,3
parameter,3
characterization,3
influence,3
quantum circuit simulation,3
temperature,3
violation of sure-thing principle,3
harmonic superspace,3
imaging method,3
approaches,3
binary black hole mergers,3
better performance,3
field theory,3
influencing,3
black hole,3
deep learning model,3
analysis,3
lanczos algorithm,3
potential,3
quantum-mechanical diracequation,3
phenomena,3
investigating aging kinetics,3
hilbert spaces,3
reactive sources,3
experimental results,3
benchmark dataset,3
flow-fields,3
hydropower plants,3
scalable,2
low frequency,2
higher order of convergence,2
adversarial attack,2
efficiently transporting large volumes of data,2
password,2
demand-oblivious scheme,2
number of unreproducible fringe subtrees,2
factorizable,2
intense gamma radiation,2
physical quantities,2
cosmology,2
pre-trained weights,2
outperforming general pre-trained weights,2
neural networks,2
homoclinic classes,2
optimization problem,2
cosmic phenomenon,2
event-guided framework,2
phase,2
calculated,2
evaluation metrics,2
experiments,2
ballistic transport,2
affine,2
condition,2
approximation,2
harmonic-space estimator,2
composite topological structures,2
mathematical model,2
weighted estimates,2
metric,2
quantum dots,2
android,2
superior performance,2
asymptotic behavior of the counting function of the eigenvalues of the associated laplaceoperator,2
predictions,2
leading order parton distribution,2
localized spin densities,2
maxwell fields,2
lattice-fermion model,2
graph neural networks,2
finite prediction theory,2
big data processing framework,2
world wide web consortium,2
electron acceleration,2
transformations,2
experimental features,2
affecting driving performance,2
gate,2
parameters,2
